Part No.,Type,Manufacture,Terrestrial,Flight,TID-Co60,TID-ELDRS,TID-Protons,TID-Electrons,Dose Rate,DD-Protons,DD-Neutrons,Facilities,Standard,Environment,Shielding,SEE
AD549LH,Operational Amplifier,Analog Devices,Y,,,Y,,,,,,,,,,[]
PA10M,Operational Amplifier,Apex,Y,,,Y,,,,,,,,,,[]
OP400,Operational Amplifier,Analog Devices,Y,,,Y,,,,,,,,,,[]
OP200,Operational Amplifier,Analog Devices,Y,,,Y,,,,,,,,,,[]
OP77,Operational Amplifier,Analog Devices,Y,,,Y,,,,,,,,,,[]
OP97A,Operational Amplifier,Analog Devices,Y,,,Y,,,,,,,,,,[]
HA2-5142,Operational Amplifier,Intersil,Y,,,Y,,,,,,,,,,[]
LM101,Operational Amplifier,National Semiconductor,Y,,,Y,,,,,,,,,,[]
LMH6702,Operational Amplifier,Analog Devices,Y,,,Y,,,,,,,,,,[]
LM6142,Operational Amplifier,National Semiconductor,Y,,,Y,,,,,,,,,,[]
AD524,Instrumentation Amplifier,Analog Devices,Y,,,Y,,,,,,,,,,[]
AD585,Sample and Hold,Analog Devices,Y,,,Y,,,,,,,,,,[]
AD650,Voltage to Frequency Converter,Analog Devices,Y,,,Y,,,,,,,,,,[]
MX7545A,12 bit DAC,Maxim,Y,,,Y,,,,,,,,,,[]
AD1671,12 bit DAC,Analog Devices,Y,,,Y,,,,,,,,,,[]
AD580,Voltage Reference,Analog Devices,Y,,Y,Y,,,,,,,,,,[]
MAX6021,Voltage Reference,Maxim,Y,,,Y,,,,,,,,,,[]
LM136,Voltage Reference,National Semiconductor,Y,,,Y,,,,,,,,,,[]
LM111,Voltage Comparator,National Semiconductor,Y,,,Y,,,,,,,,,,[]
LM117,Voltage Regulator,National Semiconductor,Y,,,Y,,,,,,,,,,[]
LM119,Voltage Comparator,National Semiconductor,Y,,,Y,,,,,,,,,,[]
LM139,Voltage Comparator,National Semiconductor,Y,,,Y,,,,,,,,,,[]
MT29F2G08B,Flash,Micron,Y,,Y,,,,,,,,,,,[]
54ACTQ04,Hex Inverter,National Semiconductor,Y,,Y,,,,,,,,,,,[]
54ACTQ14,Hex Inverter,National Semiconductor,Y,,Y,,,,,,,,,,,[]
54AC2525,Clock Distributor,National Semiconductor,Y,,Y,,,,,,,,,,,[]
54ACTQ16244,Buffer/Driver,National Semiconductor,Y,,Y,,,,,,,,,,,[]
DS26F31,Differential Line Driver,National Semiconductor,Y,,Y,,,,,,,,,,,[]
SG1644,Driver,Linfinity,Y,,Y,,,,,,,,,,,[]
2N2222,NPN Transistor,Microsemi,Y,,,Y,,,,,,,,,,[]
2N2907,PNP Transistor,Microsemi,Y,,,Y,,,,,,,,,,[]
SW06,Analog Switch,Analog Devices,Y,,Y,,,,,,,,,,,[]
UC1825,PWM Controller,Texas Instruments,Y,,Y,,,,,,,,,,,[]
SG1524,PWM Controller,Linear Technology,Y,,,Y,,,,,,,,,,[]
S3590-02,PIN Diode,Hammamatsu,Y,,Y,,,,,,,,,,,[]
RP21005D0-100,Solid State Power Controller,Data Devices Corporation,Y,,,Y,,,,,,,,,,[]
RP21005D0-160K,Solid State Power Controller,Data Devices Corporation,Y,,,Y,,,,,,,,,,[]
LTX1000A,Voltage Reference,Linear Technology,Y,,,Y,,,,,,,,,,[]
AD845,Operational Amplifier,Linear Technology,Y,,,Y,,,,,,,,,,[]
G FLX RAM249,SRAM Test structure,LSI Logic,Y,,Y,,,,,,,,,,,[]
G FLX RAM187,SRAM Test structure,LSI Logic,Y,,Y,,,,,,,,,,,[]
G FLX L9A0443,0.1um CMOS Test structure,LSI Logic,Y,,Y,,,,,,,,,,,[]
